sample_id,collector_id,miluska_id,date,year,river,location,r_mile,lat,long,live_dead,sex,stage,total,fork,weight_lbs,weight_g,cohort,first_age,second_age,final_age,scale_age,rps,rpsm,age_afs,skip_spawn,ovary_weight,egg_stage,age_id,comments,,,,,
72,72,3572,6/18/20,2020,Delaware River,Skinners Falls,295,41.670371,-75.058463,live,male,ripe,,454,1.4,635.0288,2020,,,,5,no,,,N,,,,,,,,,
73,73,3573,6/18/20,2020,Delaware River,Skinners Falls,295,41.670371,-75.058463,dead,male,ripe,,417,1.05,476.2716,2020,,,,5,no,0,5,N,,,,,,,,,
74,74,3574,6/17/20,2020,Delaware River,Milford,247,41.308861,-74.797145,live,male,ripe,,439,1.75,793.786,2014,6,,6,,no,,,,,,,,,,,,
75,75,3575,6/17/20,2020,Delaware River,Milford,247,41.308861,-74.797145,live,female,ripe,,453,3.2,1451.4944,2015,5,,5,5,no,0,5,N,,,,,,,,,
76,76,3576,6/17/20,2020,Delaware River,Milford,247,41.308861,-74.797145,live,male,ripe,,397,1.5,680.388,2015,5,,5,5,no,,,N,,,,,,,,,
77,77,3577,6/17/20,2020,Delaware River,Milford,247,41.308861,-74.797145,live,male,ripe,,400,1.4,635.0288,2014,6,,6,6,no,0,6,N,,,,moribund,,,,,
78,78,3578,6/17/20,2020,Delaware River,Milford,247,41.308861,-74.797145,live,male,spent,,353,0.9,408.2328,2016,4,,4,3,no,0,3,N,,,,,,,,,
79,79,3579,6/17/20,2020,Delaware River,Milford,247,41.308861,-74.797145,live,female,ripe,,438,1.7,771.1064,2013,7,,7,6,yes,3,3,N,,,,,,,,,
80,80,3580,6/17/20,2020,Delaware River,Milford,247,41.308861,-74.797145,live,male,spent,,407,1.5,680.388,2014,6,,6,5,no,0,5,N,,,,otoliths were pulverized by saw by incorrect cut angle,,,,,
81,81,3581,6/17/20,2020,Delaware River,Milford,247,41.308861,-74.797145,live,female,spent,,426,1.2,544.3104,2015,5,,5,,no,0,,N,,,,moribund,,,,,
82,82,3582,6/17/20,2020,Delaware River,Milford,247,41.308861,-74.797145,live,female,gravid,,424,1.25,566.99,2015,5,,5,5,no,0,5,N,,,,,,,,,
83,83,3583,6/17/20,2020,Delaware River,Milford,247,41.308861,-74.797145,live,male,spent,,374,1,453.592,2014,6,,6,,no,0,,N,,,,,,,,,
84,84,3584,6/22/20,2020,Delaware River,Narrowsburgh,290,41.611602,-75.058614,live,female,ripe,,486,1.7,771.1064,2015,5,,5,7,no,,,N,,,,moribund,,,,,
85,85,3585,6/22/20,2020,Delaware River,Narrowsburgh,290,41.611602,-75.058614,live,female,gravid,,430,1.8,816.4656,2016,4,,4,5,no,0,5,N,,,,,,,,,
86,86,3586,6/22/20,2020,Delaware River,Narrowsburgh,290,41.611602,-75.058614,live,female,spent,,437,1.5,680.388,2016,4,,4,5,no,0,5,N,,,,"moribund, lice infested",,,,,
87,87,3587,6/22/20,2020,Delaware River,Narrowsburgh,290,41.611602,-75.058614,live,female,spent,,414,1.1,498.9512,2016,4,,4,,no,0,,N,,,,"moribund, lice infested",,,,,
88,88,3588,6/22/20,2020,Delaware River,Narrowsburgh,290,41.611602,-75.058614,live,female,ripe,,425,1.4,635.0288,2015,5,,5,5,no,0,5,N,,,,,,,,,
89,89,3589,6/22/20,2020,Delaware River,Narrowsburgh,290,41.611602,-75.058614,live,female,ripe,,436,1.5,680.388,2013,7,,7,6,no,0,6,N,,,,,,,,,
90,90,3590,6/22/20,2020,Delaware River,Narrowsburgh,290,41.611602,-75.058614,live,male,ripe,,422,1.5,680.388,2015,5,,5,5,no,0,5,N,,,,moribund,,,,,
91,91,3591,6/22/20,2020,Delaware River,Narrowsburgh,290,41.611602,-75.058614,live,male,ripe,,392,1.1,498.9512,2016,4,,4,4,no,0,4,N,,,,,,,,,
92,92,3592,6/24/20,2020,Delaware River,Upper Hancock,331,41.949481,-75.28135,dead,male,unknown,,396,,0,2016,4,,4,5,no,0,5,N,,,,"Pieces missing, no weight taken",,,,,
93,93,3593,6/24/20,2020,Delaware River,Lordville,321,41.868015,-75.214126,live,male,ripe,,422,1.9,861.8248,2015,5,,5,5,no,0,5,N,,,,first shad on rod and reel!,,,,,
94,94,3594,6/24/20,2020,Delaware River,Lordville,321,41.868015,-75.214126,live,male,ripe,,421,1.75,793.786,2015,5,,5,5,no,0,5,N,,,,Stitch's fish,,,,,
